,name,age_group,sex,year,population,ILO_inactive_share,Total_inactive_population,ILO_unemployed_rate,Total_unemployed_population,Total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts and entertainment,Other services,Activities of households,Extraterritorial organizations
26,Ghana,15-24,male,2015,2776600.0,53.947,1497892.4020000002,14.789,189108.06666821995,1089599.53133178,464150.55546646746,16298.67461389872,94780.4966444135,2339.1225527877764,4465.357781779484,75014.15924080064,125367.41923695711,60777.61623794759,12704.9149954677,10670.746279493127,13899.93305841217,1609.9768737638205,11822.237194449553,8791.692490894126,30955.716246405955,75536.22121576026,24241.719619474443,0,0,7181.715617130305,0
27,Ghana,15-24,male,2016,2826980.0,54.316,1535502.4568,10.69,138058.94936807998,1153418.59383192,56147167.82024857,3813922.054895994,7859146.214803264,306610.95890319155,229039.91210320737,11252952.619900249,15143137.915055834,8567593.839325054,756043.8738555264,643853.407020883,1679931.5790295347,330035.40481825516,980245.9264633432,923887.4215421933,2505705.2237417665,5663053.226619704,920262.4586037169,0,0,228506.87214486368,0
28,Ghana,15-24,male,2017,2877360.0,54.732,1574836.6752000002,6.488,84507.713313024,1218015.6114869758,540458.9807545004,29398.104045331966,87358.63592342769,3397.178249743486,2537.709058096151,101657.3815086047,149337.2593210947,80607.06504421457,9439.96880481034,6057.6089894055995,15973.019955112644,3513.84733136827,10436.560691676783,9836.518456128924,27717.15094442676,64449.12772538177,13168.370368576243,0,0,2382.637273396304,0
29,Ghana,15-24,male,2018,2927740.0,55.203,1616200.3122,6.603,86600.96558543398,1224938.722214566,52975768.631891705,2972798.4234506986,8853759.087117126,336903.6898824794,251668.73289187608,10706759.55119471,15362905.996211527,8209246.621224514,996797.8749696586,616923.6666996888,1692191.900754807,357364.56760958995,1061416.9163291487,1000391.5461772379,2751530.512747073,6428980.241113117,1313198.744878903,0,0,231315.35140072848,0
30,Ghana,15-24,male,2019,2978120.0,55.687,1658425.6844,6.677,88115.989452612,1231578.3261473882,52978913.56937465,2995784.8898094133,8827571.14995243,345937.8239384442,258417.27598866762,10682771.208100377,15419527.965111503,8146359.997131324,971424.7426234426,612197.7462209897,1686604.774943252,362556.662271091,1076838.0789300252,1014926.0805913827,2738245.1988620735,6398868.844745811,1278231.6665129624,0,0,232487.56101937665,0
31,Ghana,15-24,male,2020,3028500.0,56.503,1711193.355,7.338,96663.9616101,1220642.6833899,54217682.16835829,2880068.398118439,8826547.201431062,344330.5064589542,257216.60183291908,10603884.91261011,15086323.076263137,7767959.895134104,879436.3864506881,583761.0346474691,1609221.8286500704,351510.7531572428,1044030.3641974295,984004.6208304142,2744817.9118409934,6325549.354703443,1258407.1790149948,0,0,229944.36964481627,0
32,Ghana,15-24,male,2021,3089540.0,56.347,1740863.1038,7.152,96457.371616224,1252219.524583776,53245649.59622193,3032397.534760915,8887159.38773052,352783.2299426305,263530.82833891036,10705022.792317936,15092854.072377652,8035506.923669593,901108.3900415235,603867.1541824794,1581913.5288938982,355462.2779247634,1055766.8809472437,995066.3553453374,2712260.9143460146,6383873.8452957515,1299175.7939194595,0,0,239677.3997037863,0
33,Ghana,15-24,male,2022,3150580.0,55.975,1763537.155,7.173,99492.58327185,1287550.26172815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
34,Ghana,15-24,male,2023,3211620.0,56.138,1802939.2356,7.334,103312.647261096,1305368.117138904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
35,Ghana,15-24,male,2024,3272660.0,56.298,1842442.1268,7.356,105206.82675259201,1325011.046447408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
52,Ghana,25-35,female,2015,2351743.04,24.413,574131.0283552,4.918,87422.95873269127,1690189.0529121088,483846.45646991726,4092.1995032749533,315017.71114512265,801.4651691895814,4549.156409390193,5363.513779692744,474101.3848953029,3973.6628763751546,126015.8941288096,2006.169739857031,6768.405584308797,0.0,12655.844092564705,4780.141679330891,23311.96454582886,87545.20789101209,51229.66793926594,0,0,14792.010193644172,0
53,Ghana,25-35,female,2016,2394255.04,24.398,584150.3446592,3.917,70901.80091649914,1739202.8944243009,84661060.76784742,1306432.5019403233,25548983.15505235,111037.45861545457,223002.5275196361,309316.6572874853,44995112.93142461,450314.2950652689,6809501.310781698,103494.66686486319,1991453.947799037,2399.851066868387,452886.17990473413,458151.15928612906,1598467.7873945571,6670581.600204778,2100485.926022029,0,0,938349.5584499363,0
