,name,age_group,sex,year,population,Total_inactive_population,Total_unemployed_population,Total_employed_population,Less than basic_employed,Basic_employed,Intermediate_employed,Advanced_employed,Level not stated_employed,Less than basic_unemployed,Basic_unemployed,Intermediate_unemployed,Advanced_unemployed,Level not stated_unemployed
33,Ghana,15-24,male,2022,3150580.0,1763537.155,99492.58327185,1287550.26172815,84458.52290272701,742442.5479883169,429624.2758016,30110.62907512914,913.2001100679266,37442.44890312454,617089.1973227405,986174.1436699632,122831.36510417187,
34,Ghana,15-24,male,2023,3211620.0,1802939.2356,103312.647261096,1305368.117138904,85627.30814864572,752716.891727793,435569.66174475406,30527.31714637181,925.8374944139448,38279.01216200428,630876.6007927285,1008207.8802342035,125575.74241106371,
35,Ghana,15-24,male,2024,3272660.0,1842442.1268,105206.82675259201,1325011.046447408,86915.81147483992,764043.6312883798,442124.0305563149,30986.68636553028,939.7693196325627,39117.71577598154,644699.2794663375,1030297.9903241425,128327.14123353851,
52,Ghana,25-35,female,2015,2351743.04,574131.0283552,87422.95873269127,1690189.0529121088,919606.5447334887,493075.51235317386,169088.31757264465,108418.67825280158,,296061.72451921384,116485.67610976144,126973.63093457512,34609.99679164956,
53,Ghana,25-35,female,2016,2394255.04,584150.3446592,70901.80091649914,1739202.8944243009,,,,,,,,,,
54,Ghana,25-35,female,2017,2436767.04,592646.1117984001,53239.77119718019,1790881.1570044197,550222.4926819708,948343.1642549476,189259.50558220985,100457.97981924919,2598.014666042263,82584.88608909979,322391.22432863316,146671.718216299,38308.8214027072,2689.4617616610158
55,Ghana,25-35,female,2018,2479279.04,600183.8700031999,55376.9346598057,1823718.2353369943,560311.2129869875,965731.7099152806,192729.7130751418,102299.94824889902,2645.6511106853604,83635.26824856688,326491.65972837684,148537.20914821804,38796.06434093928,2723.6685370989553
56,Ghana,25-35,female,2019,2521791.04,606818.5779552,57104.47881817594,1857867.983226624,570803.2321445975,983815.3665808805,196338.64288942344,104215.54977885605,2695.1918328666734,84559.81088799746,330100.8483775987,150179.20762894748,39224.9338415271,2753.777219129358
57,Ghana,25-35,female,2020,2564303.04,631382.6945087999,59359.98381003476,1873560.3616811652,575624.4898565323,992125.1082854378,197997.00630237212,105095.80061623665,2717.9566205861315,87982.8060398639,343463.3854003004,156258.48683057586,40812.76566094389,2865.250577115995
58,Ghana,25-35,female,2021,2613711.8079999997,633093.27413376,67974.82808228934,1912643.7057839504,587632.2855332438,1012821.3013695716,202127.3163190151,107288.14809713468,2774.654464985173,88221.17430156562,344393.91687367664,156681.83163575368,40923.3380380221,2873.013284742045
59,Ghana,25-35,female,2022,2663120.576,636592.34248704,68516.91957507317,1958011.3139378866,601570.8310072672,1036845.2634862695,206921.74450040457,109833.00611105173,2840.468832893503,88708.76741256523,346297.36128673516,157547.8026719501,41149.518859853364,2888.8922559362168
60,Ghana,25-35,female,2023,2712529.344,654180.70189248,70807.19328849869,1987541.4488190212,610643.5404720933,1052482.650391883,210042.47571448912,111489.47431517913,2883.307925376738,91159.69492069425,355865.1836511561,161900.6784324499,42286.43565693653,2968.709231243351
61,Ghana,25-35,female,2024,2761938.112,672642.4077964801,71621.05674009665,2017674.6474634234,619901.5326095151,1068439.3836680066,213226.93843260122,113179.7708764385,2927.021876861866,93732.32274822812,365908.09433781286,166469.69537567554,43479.80583213179,3052.4895026319023
78,Ghana,25-35,male,2015,2231660.48,307701.3469824,98218.11374054849,1825741.0192770516,686870.2008107225,612738.6843437157,281866.71966448234,244265.41445813084,,63967.956268634225,105487.77303299017,80880.32055812162,57365.297122653996,
79,Ghana,25-35,male,2016,2295781.7600000002,321202.8260416,75369.67790919215,1899209.256049208,,,,,,,,,,
80,Ghana,25-35,male,2017,2359903.04,334728.64719359996,50487.59761266355,1974686.7951937364,319675.8605609235,1038331.230242299,407284.3720388765,200833.1320640577,8562.200287579572,25823.189872241554,143245.018379768,116492.43687741212,49168.00206417827,
81,Ghana,25-35,male,2018,2424024.32,347871.7301632,52858.84493724492,2023293.7448995549,327544.68741198094,1063889.771479932,417309.6839191422,205776.64309236832,8772.958996131472,26837.134540187188,148869.51803742137,121066.49940850222,51098.57817708922,
82,Ghana,25-35,male,2019,2488145.6,360482.534528,54787.32393590401,2072875.7415360962,335571.3615568091,1089961.0125956342,427536.1018066261,210819.3200894205,8987.945487606194,27810.015703135792,154266.23241536532,125455.31806431981,52950.968345179055,
83,Ghana,25-35,male,2020,2552266.88,386489.7736384,62699.24722916831,2103077.8591324314,340460.6877815401,1105841.9117823069,433765.36840698373,213890.989929216,9118.901232384687,29816.386771854668,165395.86674935638,134506.37086731388,56771.14924987509,
84,Ghana,25-35,male,2021,2615375.52,392280.1742448,66092.6246293021,2157002.721125898,349190.41479715984,1134196.721482054,444887.5137556781,219375.35279457227,9352.718296433495,30263.096713023602,167873.83225438307,136521.5490804467,57621.6961969466,
85,Ghana,25-35,male,2022,2678484.16,399522.69730560004,66089.8824181376,2212871.5802762625,358234.8494239168,1163573.7251643725,456410.6136573778,225057.42753944977,9594.964491145634,30821.833019943148,170973.22442669436,139042.09570102167,58685.54415794085,
86,Ghana,25-35,male,2023,2741592.8,415652.884408,68219.81772431335,2257720.0978676863,365495.2354713727,1187156.004925694,465660.7389777861,229618.69177549888,9789.426717334336,32066.22272997338,177876.0365024591,144655.7317569771,61054.89341859041,
87,Ghana,25-35,male,2024,2804701.44,430858.2352128,69126.31412340327,2304716.8906637966,373103.399063324,1211867.8922995294,475353.95173861133,234398.4437428393,9993.203819492299,33239.264428669965,184383.0707039406,149947.5058064285,63288.394273760874,
104,Kenya,15-24,female,2015,4742700.0,2652497.256,153399.97938216003,1936802.7646178398,,,,,,,,,,
105,Kenya,15-24,female,2016,4887980.0,2754914.4077999997,157228.264801062,1975837.3273989381,95568.32061630987,947889.4377763815,859619.7520257503,67490.25870103424,5269.558279462196,56744.574421509395,770691.4250469423,1629902.1366542964,297595.01782010624,
106,Kenya,15-24,female,2017,5033260.0,2864226.9356,201806.836311776,1967226.2280882238,,,,,,,,,,
107,Kenya,15-24,female,2018,5178540.0,2975744.4401999996,246536.87905281605,1956258.6807471844,,,,,,,,,,
108,Kenya,15-24,female,2019,5323820.0,3090104.8426,294291.97198745003,1939423.1854125499,154784.3206445971,1250591.9099576764,488224.82620286086,34861.53303714211,10959.211132282951,71103.32945238677,1197855.6461462234,1550846.127619542,270286.0102199533,
109,Kenya,15-24,female,2020,5469100.0,3197017.0960000004,335700.24906599993,1936382.6549339998,154541.65754349495,1248631.2946329475,487459.4117870593,34806.878872684516,10942.029830275631,73563.38099212712,1239299.3682529635,1604502.7064820773,279637.4361058132,
110,Kenya,15-24,female,2021,5604760.0,3272899.602,337256.96936273994,1994603.42863726,159188.22615876343,1286173.6057347332,502115.7422550401,35853.40932625978,11271.021334604364,75309.43787324283,1268714.6447195525,1642586.2332808473,286274.7448176349,
111,Kenya,15-24,female,2022,5740420.0,3336676.5291999998,344504.51423505606,2059238.9565649442,164346.75285631002,1327852.321824234,518386.9045399805,37015.2463142737,11636.261062856545,76776.94531947786,1293437.2856109526,1674594.2736605946,291853.1999429544,
112,Kenya,15-24,female,2023,5876080.0,3419643.5168,351786.268759072,2104650.2144409283,167971.00090739003,1357134.7147273729,529818.604259214,37831.52307048101,11892.869092805198,78686.01616123976,1325598.8075018357,1716233.3241115357,299110.17574171216,
113,Kenya,15-24,female,2024,6011740.0,3504664.0678,358511.85830460006,2148564.0738954,171475.74239633785,1385451.5451034615,540873.3531976184,38620.883780240096,12141.01568660421,80642.33950814925,1358556.3776301434,1758903.0065341839,306546.77310232364,
130,Kenya,15-24,male,2015,4769000.0,2548362.84,162928.1484292,2057709.0115708,,,,,,,,,,
131,Kenya,15-24,male,2016,4916300.0,2627516.535,168866.44404769997,2119917.0209522997,88629.99959430499,1081987.5016268983,880957.7037119232,63406.64814040863,4935.167878764667,40319.075900931835,692473.3179437914,1587819.0131509285,296450.7730199005,
132,Kenya,15-24,male,2017,5063600.0,2773789.444,201457.53271688,2088353.0232831198,,,,,,,,,,
133,Kenya,15-24,male,2018,5210900.0,2925503.478,232859.05162657998,2052537.47037342,,,,,,,,,,
134,Kenya,15-24,male,2019,5358200.0,3083108.28,265616.95831,2009474.76169,240287.97332151848,1136299.4603213046,597953.1936924395,32137.510967200367,2795.3782301962347,86176.97327200859,1061866.5432565254,1536218.973847611,398831.7497129274,
135,Kenya,15-24,male,2020,5505500.0,3189336.15,298159.7724105,2018004.0775895002,241307.8876147372,1141122.5400823865,600491.2358611445,32273.9202361739,2807.2433525846727,89146.18339450627,1098452.9394743072,1589149.0867807246,412573.4166972532,
136,Kenya,15-24,male,2021,5645120.0,3276201.8432,295498.850879232,2073419.305920768,247934.3022185568,1172458.2379706467,616980.9740711481,33160.17546176741,2884.3314185070835,91574.19494690977,1128370.7253542978,1632431.6166016576,423810.3870734549,
137,Kenya,15-24,male,2022,5784740.0,3317490.5426,305198.75788038,2162050.6995196203,258532.62290740132,1222576.7100380445,643354.7439110209,34577.65650613038,3007.626457042336,92728.26895972058,1142591.1433629172,1653004.5182526403,429151.5047798603,
138,Kenya,15-24,male,2023,5924360.0,3390392.7408,314642.714574864,2219324.544625136,265381.28626317333,1254963.4015878253,660397.544969685,35493.63657231655,3087.300042807077,94765.98227212881,1167699.7020537057,1689329.463709969,438582.15353606443,
139,Kenya,15-24,male,2024,6063980.0,3468172.0814,322866.588915468,2272941.329684532,271792.6475121708,1285282.1321778607,676352.1259741379,36351.12931157504,3161.8862961831055,96940.01819538244,1194488.0182719394,1728084.5407139712,448643.71079769125,
156,Kenya,25-35,female,2015,4122072.64,595763.1586592,63226.729000440544,3463082.7523403596,,,,,,,,,,
157,Kenya,25-35,female,2016,4203120.512,600331.70272896,64381.836021673495,3538406.9732493665,539573.0696792143,1762713.9929998147,1101919.1146717118,106876.36891810912,27324.426980516735,25322.677632775343,187143.58561196763,315547.985493357,72317.45399085994,
158,Kenya,25-35,female,2017,4284168.384,592843.2209779199,84900.47874950783,3606424.684272572,,,,,,,,,,
159,Kenya,25-35,female,2018,4365216.256,582319.8485504,105656.29666006734,3677240.110789533,,,,,,,,,,
160,Kenya,25-35,female,2019,4446264.1280000005,568588.25668864,128816.39244496339,3748859.4788663974,949749.6540621223,2048076.8342661674,608833.2372638551,131395.28448607665,10803.970174082175,69113.80858329813,281624.42861475627,158124.81255363984,59725.20693694575,
161,Kenya,25-35,female,2020,4527312.0,617253.71808,140644.7964006624,3769413.4855193375,954956.8806381698,2059305.898762863,612171.3091440623,132115.6901365729,10863.205489806358,75029.25854846013,305728.6597457913,171658.71317473394,64837.08661101464,
162,Kenya,25-35,female,2021,4633654.368,576241.25720448,158198.5371899173,3899214.5736056026,987841.1589638261,2130218.826566817,633251.6449383046,136665.14070729804,11237.283817402536,70044.05644986511,285414.9956412612,160253.11762819008,60529.0874851636,
